Date,Price,Open,High,Low,Vol.,Change %,change
01/31/2023,"16,446.38","17,026.64","17,033.99","16,427.18",173.32M,-3.41%,Negative
01/30/2023,"17,026.64","17,411.46","17,764.02","17,026.64",260.05M,-2.21%,Negative
01/29/2023,"17,411.46","16,791.11","17,411.46","16,791.11",196.04M,3.69%,Positive
01/25/2023,"16,791.11","16,440.53","16,840.13","16,440.53",193.67M,2.13%,Positive
01/24/2023,"16,440.53","16,183.49","16,440.53","16,183.49",195.01M,1.59%,Positive
01/23/2023,"16,183.49","16,118.85","16,241.01","16,118.85",262.16M,0.40%,Positive
01/22/2023,"16,118.85","16,065.98","16,220.38","16,065.98",247.65M,0.33%,Positive
01/19/2023,"16,065.98","15,987.15","16,118.92","15,987.15",252.82M,0.49%,Positive
01/18/2023,"15,987.15","15,981.88","16,087.04","15,919.66",229.15M,0.03%,Positive
01/17/2023,"15,981.88","15,837.91","16,063.02","15,837.91",267.10M,0.91%,Positive
01/16/2023,"15,837.91","15,561.25","15,914.29","15,561.25",230.77M,1.78%,Positive
01/15/2023,"15,561.25","15,551.47","15,663.72","15,498.90",152.68M,0.06%,Positive
01/12/2023,"15,551.47","15,528.10","15,799.26","15,433.92",216.00M,0.15%,Positive
01/11/2023,"15,528.10","15,462.57","16,139.08","15,301.89",373.79M,0.42%,Positive
01/10/2023,"15,462.57","16,096.87","16,115.20","15,462.57",241.09M,-3.94%,Negative
